workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,result
Private,5th-6th,Never-married,Other-service,Not-in-family,White,Male,0,0,50,Guatemala,<=50K
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K
Self-emp-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,<=50K
Private,Assoc-voc,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,30,United-States,<=50K
?,Bachelors,Never-married,?,Own-child,Black,Female,0,0,40,Germany,<=50K
Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
Private,Assoc-acdm,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Separated,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Masters,Divorced,Transport-moving,Not-in-family,White,Male,14344,0,48,United-States,>50K
Local-gov,Prof-school,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
Private,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
Private,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,0,44,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,60,United-States,<=50K
Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Private,1st-4th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,<=50K
Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,9th,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,Mexico,<=50K
Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,Mexico,<=50K
Private,1st-4th,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Puerto-Rico,<=50K
Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Self-emp-not-inc,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United-States,<=50K
Private,9th,Never-married,Sales,Own-child,White,Female,0,0,32,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,>50K
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,>50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2228,0,37,United-States,<=50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
?,Some-college,Married-civ-spouse,?,Wife,White,Female,0,0,25,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Canada,>50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
Private,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,White,Male,3103,0,55,United-States,>50K
Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,Other,Female,0,0,40,United-States,<=50K
Private,Assoc-voc,Divorced,Tech-support,Other-relative,White,Female,0,0,36,United-States,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,<=50K
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,50,United-States,>50K
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Wife,White,Female,4064,0,22,United-States,<=50K
?,Some-college,Married-civ-spouse,?,Wife,White,Female,0,0,1,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Federal-gov,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
Private,Some-college,Never-married,Sales,Other-relative,Black,Female,0,0,40,United-States,<=50K
Private,Masters,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Local-gov,Assoc-acdm,Widowed,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Female,0,0,20,United-States,<=50K
Private,Some-college,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K
Private,Assoc-acdm,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K
Federal-gov,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Exec-managerial,Own-child,White,Female,0,0,45,United-States,<=50K
Private,10th,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,42,China,<=50K
State-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,England,<=50K
?,Some-college,Divorced,?,Own-child,Black,Female,0,0,40,United-States,<=50K
Private,7th-8th,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,55,United-States,>50K
Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,Germany,>50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
Self-emp-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K
Private,10th,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,United-States,<=50K
?,Some-college,Divorced,?,Own-child,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,United-States,<=50K
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,0,0,10,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
Private,12th,Never-married,Other-service,Own-child,Black,Male,0,0,18,United-States,<=50K
?,10th,Married-civ-spouse,?,Husband,White,Male,0,0,1,United-States,<=50K
Private,Some-college,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,43,United-States,<=50K
Private,HS-grad,Divorced,Transport-moving,Not-in-family,Black,Male,0,0,20,Haiti,<=50K
Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,0,0,48,United-States,<=50K
Private,Some-college,Widowed,Other-service,Unmarried,White,Female,0,0,45,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Private,Assoc-acdm,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,50,United-States,>50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,70,?,<=50K
Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,10th,Divorced,Farming-fishing,Unmarried,White,Male,0,0,70,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,10th,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,<=50K
Private,12th,Never-married,Other-service,Own-child,White,Male,0,0,16,United-States,<=50K
Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K
?,Masters,Widowed,?,Not-in-family,White,Female,0,0,15,United-States,<=50K
Private,Some-college,Never-married,Exec-managerial,Own-child,Black,Female,0,0,40,United-States,<=50K
Private,1st-4th,Married-civ-spouse,Other-service,Husband,White,Male,0,0,38,Cuba,<=50K
Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Unmarried,White,Male,0,0,55,United-States,<=50K
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,Greece,>50K
Private,Some-college,Never-married,Transport-moving,Not-in-family,White,Female,0,0,24,United-States,<=50K
Private,Masters,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0,0,60,?,<=50K
Private,1st-4th,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,40,Guatemala,<=50K
Private,10th,Never-married,Other-service,Own-child,White,Male,0,0,6,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Female,0,0,36,United-States,<=50K
Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,2174,0,40,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,8,United-States,>50K
Private,Some-college,Never-married,Other-service,Own-child,White,Male,0,1602,24,United-States,<=50K
Private,10th,Never-married,Other-service,Own-child,White,Male,0,0,11,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,25,United-States,<=50K
?,Some-college,Separated,?,Unmarried,White,Female,0,0,20,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States,<=50K
Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,<=50K
Self-emp-inc,10th,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,<=50K
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,35,United-States,<=50K
Private,Some-college,Divorced,Transport-moving,Not-in-family,White,Male,3325,0,53,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,>50K
Private,11th,Separated,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
Private,7th-8th,Married-spouse-absent,Craft-repair,Not-in-family,Black,Male,0,0,50,Dominican-Republic,<=50K
State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
Local-gov,7th-8th,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,2907,0,40,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3103,0,40,United-States,>50K
Self-emp-not-inc,Masters,Never-married,Sales,Not-in-family,White,Male,10520,0,45,United-States,>50K
Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,85,Mexico,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,0,0,30,United-States,<=50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,<=50K
Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United-States,>50K
Self-emp-not-inc,10th,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Greece,<=50K
Self-emp-inc,HS-grad,Divorced,Sales,Unmarried,White,Male,1151,0,50,United-States,<=50K
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
State-gov,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Local-gov,9th,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K
Private,Bachelors,Never-married,Sales,Own-child,Black,Female,0,0,20,United-States,<=50K
Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,45,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Male,5013,0,45,United-States,<=50K
Private,Bachelors,Never-married,Adm-clerical,Other-relative,White,Female,0,0,50,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,15,United-States,<=50K
Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,0,0,30,United-States,<=50K
Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K
Private,Some-college,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,40,El-Salvador,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Wife,Asian-Pac-Islander,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,24,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,<=50K
Self-emp-not-inc,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,27828,0,55,United-States,>50K
Private,Some-college,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,Greece,<=50K
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,11th,Never-married,Other-service,Own-child,White,Female,0,0,16,United-States,<=50K
Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,44,United-States,<=50K
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
?,11th,Married-civ-spouse,?,Husband,White,Male,0,0,3,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
Self-emp-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,>50K
Private,10th,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
?,HS-grad,Separated,?,Unmarried,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Male,0,0,45,United-States,<=50K
Self-emp-not-inc,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,38,United-States,>50K
Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,4650,0,40,United-States,<=50K
Private,Some-college,Never-married,Transport-moving,Own-child,White,Male,0,1719,30,United-States,<=50K
?,Some-college,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32,United-States,>50K
Local-gov,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
Private,Some-college,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,14084,0,16,United-States,>50K
Private,Some-college,Widowed,Sales,Not-in-family,White,Male,0,0,35,United-States,>50K
Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,0,0,55,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,0,0,48,United-States,>50K
Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,30,United-States,>50K
Private,10th,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
Private,9th,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,36,United-States,>50K
Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,20,United-States,<=50K
Private,11th,Divorced,Sales,Unmarried,White,Female,0,0,35,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,37,United-States,>50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,<=50K
Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,36,United-States,<=50K
State-gov,Some-college,Separated,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Never-married,Priv-house-serv,Unmarried,Black,Female,0,0,28,?,<=50K
Self-emp-not-inc,HS-grad,Separated,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,70,United-States,>50K
Self-emp-not-inc,12th,Divorced,Craft-repair,Other-relative,Black,Male,0,0,35,United-States,<=50K
Private,Assoc-voc,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,Canada,>50K
Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,Laos,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,16,United-States,<=50K
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,5th-6th,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,24,Mexico,<=50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
?,Doctorate,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K
Private,HS-grad,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,35,United-States,<=50K
Self-emp-inc,10th,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,>50K
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,Japan,>50K
Local-gov,HS-grad,Divorced,Transport-moving,Own-child,White,Male,0,0,25,United-States,<=50K
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
?,Some-college,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
Private,10th,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
Private,Bachelors,Never-married,Sales,Own-child,Black,Female,0,0,40,United-States,<=50K
Private,9th,Divorced,Other-service,Own-child,White,Female,0,0,50,United-States,<=50K
Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,0,0,35,United-States,<=50K
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
Private,Some-college,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
Private,11th,Never-married,Transport-moving,Own-child,White,Male,0,0,60,United-States,<=50K
